claim_id,domain,statement,classification,confidence,source_repository,source_ref,source_path,source_locator,units,applies_to,supersedes,conflicts_with,notes,line_start,line_end,expected_excerpt_sha256
C-DIR-M21,direction,M21 encoder-to-q direction is +1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_154451_m21_rf_lower_negative_probe.result.yaml,direction,sign,M21,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-DIR-M33,direction,M33 encoder-to-q direction is +1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155142_m33_rh_hip_positive_probe.result.yaml,direction,sign,M33,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-DIR-M32,direction,M32 encoder-to-q direction is -1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155257_m32_rh_upper_positive_probe.result.yaml,direction,sign,M32,,,Pass direction test,,,
C-DIR-M31,direction,M31 encoder-to-q direction is +1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155450_m31_rh_lower_positive_probe.result.yaml,direction,sign,M31,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-DIR-M43,direction,M43 encoder-to-q direction is +1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_155839_m43_lh_hip_positive_probe.result.yaml,direction,sign,M43,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-DIR-M42,direction,M42 encoder-to-q direction is +1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_160015_m42_lh_upper_positive_probe.result.yaml,direction,sign,M42,,,Pass direction test,,,
C-DIR-M41,direction,M41 encoder-to-q direction is -1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_160206_m41_lh_lower_positive_probe.result.yaml,direction,sign,M41,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-URDF-MOTOR-DIR,direction,URDF custom motorDirection semantics conflict with multiple hardware encoder-to-q signs,DECISION_REQUIRED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,joint.calibration.motorDirection,sign,MATDOG,,C-DIR-M13;C-DIR-M11;C-DIR-M23;C-DIR-M21;C-DIR-M33;C-DIR-M31;C-DIR-M43;C-DIR-M41,Do not edit URDF during I.1,,,
C-DZERO,digital_zero,All 12 servos have verified displayed q-zero near target tick 2048 after EEPROM recenter,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration/C5_R_digital_recenter/2026-07-10_145457Z_final_12_offset_readback.json,motors[*],tick,12 servos,C-VISUAL-ZERO,C-C5-OLD,Final medians 2048 through 2051,,,
C-VISUAL-ZERO,digital_zero,Visual-zero raw targets are historical after digital recenter,SUPERSEDED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Development_Log/2026-07-10_C5R_POST_DIGITAL_ZERO_HANDOFF.md,scope boundary,tick,MATDOG,,C-DZERO,Preserved as history,,,
C-GOAL-UNSIGNED,command_semantics,GOAL_POSITION commands remain unsigned from 0 through 4095,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,units.encoder_position,tick,ST3215 goal position,C-SIGNED-WRAP,,Circular delta is local math only,,,
C-SIGNED-WRAP,command_semantics,Signed-wrap command handling is superseded and prohibited,SUPERSEDED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Development_Log/2026-07-10_C5R_POST_DIGITAL_ZERO_HANDOFF.md,command boundary,tick,MATDOG,,C-GOAL-UNSIGNED,No signed command serialization,,,
C-FRAME-BASE,frames,base_link uses the right-handed ROS convention X forward Y left and Z up,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Architecture_Decisions/ADR-003_URDF_REV00_Kinematic_Baseline.md,Kinematic Decisions: ROS convention,axis,MATDOG,,,SI geometry,27,29,b59a48b901a9a5d1d582a3efef2ac24a2cb1982a47ae56cd57616b1edf8e0091
C-FRONT-REAR-Z,geometry,Front hip origins are 0.0200 m above rear hip origins,MATDOG_DERIVED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,hip joint origins,m,MATDOG,,,Intentional REV00 asymmetry,,,
C-FOOT-FRAME,frames,Nominal foot frame origin is distinct from the finite physical contact patch,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_FOOT_CONTACT_GEOMETRY.yaml,contact_reference,m,MATDOG,,,No point-patch equivalence,,,
C-UNKNOWN-WORLD,frames,World frame placement is not materialized in REV00,UNKNOWN,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,absence of world link,,MATDOG,,,Frozen unknown,,,
C-URDF-LIMITS,limits,URDF per-joint limits are model constraints and not measured contacts,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,joint.limit,rad,MATDOG,,C-COLLISION-CONFIG,They do not prove configuration safety,,,
C-COLLISION-CONFIG,collision,Independent joint limits do not prove absence of configuration-dependent self collision,MATDOG_DERIVED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_COLLISION_CONTACT_POLICY.md,policy,,MATDOG,,C-URDF-LIMITS,Mesh checks remain configuration-level,,,
C-PROFILES-24,calibration,NormaCore fork main generates exactly 24 MATDOG MIN and MAX profiles,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,all_profiles,count,MATDOG contact calibration,,C-UNKNOWN-CONTACTS-22,Software coverage is not hardware completion,,,
C-M12-CONTACT,calibration,Only LF upper M12 MIN and MAX have repeatable physical contact evidence,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_NATIVE_M12_MIN_MAX_CHECKPOINT_2026-07-28.md,measured contacts,tick,M12 MIN and MAX,,C-UNKNOWN-SAFE,Mechanical observation only,,,
C-UNKNOWN-CONTACTS-22,calibration,Physical contact validation remains pending for 22 of 24 profiles,UNKNOWN,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_NATIVE_M12_MIN_MAX_CHECKPOINT_2026-07-28.md,next operation,count,MATDOG contact calibration,,C-PROFILES-24,No extrapolation from M12,,,
C-UNKNOWN-SAFE,limits,Operational safe limits are missing for all 24 profile sides,UNKNOWN,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,joints.*.safe_limit_rad,count,MATDOG motion envelope,,C-M12-CONTACT,Mechanical contacts are not safe limits,,,
C-PREREQUISITES,calibration,Probe prerequisites are offline geometry-derived clearance poses and not safety limits,MATDOG_DERIVED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_MECHANICAL_ENDSTOP_GEOMETRY_CHECKPOINT_2026-07-20.md,validated prerequisite table,rad,MATDOG contact profiles,,,Path checks passed offline,,,
C-STATION-OWNER,station,Station is the current sole serial-bus owner for MATDOG,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_NORMACORE_STATION_CANONICAL.md,ownership contract,,current MATDOG runtime,,C-BUS-FUTURE,No direct MATDOG serial open,,,
C-BUS-FUTURE,station,Future bus ownership among Station controller or broker requires an explicit decision,DECISION_REQUIRED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Architecture_Decisions/ADR-002_MATDOG_Repository_and_Station_Integration.md,future boundary,,future MATDOG runtime,,C-STATION-OWNER,Options A B C remain open,,,
C-NATIVE-ARM,station,MATDOG native calibration requires explicit environment arming and one profile per run,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,active_profile and run_profile,,MATDOG contact calibration,,,Fail closed when unarmed,,,
C-NATIVE-RAM,station,MATDOG contact calibration has a five-register RAM allowlist and no EEPROM path,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,ram_write_allowed_for_profile,register,MATDOG contact calibration,,C-GENERIC-SO101;C-GENERIC-ELROBOT,Allowlist is TorqueEnable Acceleration GoalPosition GoalSpeed TorqueLimit,,,
C-NATIVE-BARRIER,station,MATDOG native calibration uses command-result and fresh-readback barriers with per-servo timestamps,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,verified writes and observations,,MATDOG contact calibration,,,Fresh telemetry required,,,
C-NATIVE-CLEANUP,station,MATDOG native calibration restores prerequisites in reverse order and performs global torque OFF cleanup,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,restore_prerequisites and cleanup,,MATDOG contact calibration,,,Success and failure paths,,,
C-MAIN-TIMEOUT,station,Fork main uses a fixed 12 second motion timeout and strict all-home startup,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,MOTION_TIMEOUT and startup,second,MATDOG contact calibration,,C-PR-RESTART,Current main fact,,,
C-PR-RESTART,station,PR4 experimentally adds restart-safe entry distance-aware timeouts and active-probe home tolerance,NORMACORE_EXPERIMENTAL_PR,HIGH,MattRobotics/norma-core,b06cc2bf2e36fb5bbaae12e48c5998c7668862ef,.github/workflows/matdog-restart-safe-v11.yml,validation workflow,second tick,MATDOG contact calibration,,C-MAIN-TIMEOUT,Not a fork-main fact,,,
C-GENERIC-SO101,station,SO101 generic calibration writes ProtectionCurrent through an EEPROM write and saves calibration; it is not the MATDOG contact path,NORMACORE_GENERIC_REFERENCE,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/so101.rs,send_eeprom_write_verified and save_calibration,register,generic ST3215,,C-NATIVE-RAM,SO101-only reference,110,150,2b02295e8de8ecb2e03ae1d82573f6460a868fce17fd7711980ee77ee085c1c9
C-GENERIC-ELROBOT,station,ElRobot generic calibration writes ProtectionCurrent through an EEPROM write and saves calibration; it is not the MATDOG contact path,NORMACORE_GENERIC_REFERENCE,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/elrobot.rs,send_eeprom_write_verified and save_calibration,register,generic ST3215,,C-NATIVE-RAM,ElRobot-only reference,99,141,e46da2a8e9b625bb9eef95c4d4088070db0c919f9ff7a9b19eb2b46d78026b32
C-CURRENT-RAW,calibration,Contact current is a diagnostic raw proxy and a hard-abort input rather than required normal contact evidence,NORMACORE_MATDOG_FORK_MAIN_FACT,HIGH,MattRobotics/norma-core,32e3222c87016b7f5d7c1c1da497a4cea3e7b80a,software/drivers/st3215/src/auto_calibrate/matdog.rs,HybridContactDetector and HARD_CURRENT_ABORT_RAW,raw,MATDOG contact calibration,,,No calibrated amperes claimed,,,
C-C5-OLD,first_stand,Old C5 raw targets and RF failure executor are historical and not command eligible after recenter,SUPERSEDED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/hardware/matdog_c5_supervised_first_stand_executor.py,module header,tick,MATDOG first stand,,C-DZERO,Preserved failure evidence,,,
C-MECH-REALIGN,first_stand,Mechanical realignment proposed after the old RF wrap failure is superseded as the primary next action,SUPERSEDED,MEDIUM,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/hardware/matdog_c5_supervised_first_stand_executor.py,module header,,MATDOG first stand,,C-DZERO,May remain a diagnostic fallback only under new authorization,,,
C-UNKNOWN-FIRST-STAND,first_stand,A new first-stand envelope remains unproved,UNKNOWN,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,joints.*.first_stand_limit_rad,rad,MATDOG first stand,,,Blocked by contacts safe limits and collision envelope,,,
C-XGO-ARCH,architecture,XGoLite transfers only abstract boundaries for adapters state scheduling telemetry watchdogs errors and single ownership,XGOLITE_ARCHITECTURAL_REFERENCE,HIGH,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_h2_matdog_transfer_boundary.md,transferable material,,future MATDOG architecture,,C-XGO-PHYSICAL,No implementation or constant copied,,,
C-XGO-PHYSICAL,architecture,XGo geometry signs zeros IDs timing gains registers bus and servo characteristics are prohibited as MATDOG constants,XGOLITE_ARCHITECTURAL_REFERENCE,HIGH,MattRobotics/xgolite-low-level-reconstruction,xgolite-static-closure-h2-2026-07-30,docs/reverse/milestone_h2_matdog_transfer_boundary.md,never transfer,,MATDOG physical model,,C-XGO-ARCH;C-UNKNOWN-RATE,Negative transfer rule,,,
C-UNKNOWN-RATE,timing,MATDOG real-time target rates are not selected or validated,UNKNOWN,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/kinematics/MATDOG_TRAJECTORY_TIMING_ENVELOPE.md,scope boundary,Hz,future MATDOG runtime,,C-XGO-PHYSICAL,XGo timing is not evidence,,,
C-CONTROLLER-PLACEMENT,architecture,Final controller placement requires a future explicit decision,DECISION_REQUIRED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Architecture_Decisions/ADR-001_Quadruped_Control_Architecture.md,future decision,,future MATDOG runtime,,,No choice in Milestone I.1,,,
